name,manufacturer,tdp,cores,frequency,total_die_size,gwp_embedded,gwp_use,gwp_total,pe_embedded,pe_use,pe_total,adp_embedded,adp_use,adp_total
AMD A10 PRO-7800B,AMD,65.0,4.0,3.5,245.0,12.7,600.0,612.7,200.0,20000.0,20200.0,0.0204,0.00011,0.02051
AMD A10 PRO-7850B,AMD,95.0,4.0,3.7,245.0,12.7,900.0,912.7,200.0,30000.0,30200.0,0.0204,0.00016,0.020560000000000002
AMD A10-4600M,AMD,35.0,4.0,2.3,246.0,12.7,300.0,312.7,200.0,10000.0,10200.0,0.0204,6e-05,0.020460000000000002
AMD A10-4655M,AMD,25.0,4.0,2.0,246.0,12.7,250.0,262.7,200.0,10000.0,10200.0,0.0204,4e-05,0.02044
AMD A10-5700,AMD,65.0,4.0,3.4,246.0,12.7,600.0,612.7,200.0,20000.0,20200.0,0.0204,0.00011,0.02051
AMD A10-5745M,AMD,25.0,4.0,2.1,246.0,12.7,250.0,262.7,200.0,10000.0,10200.0,0.0204,4e-05,0.02044
AMD A10-5750M,AMD,35.0,4.0,2.5,246.0,12.7,300.0,312.7,200.0,10000.0,10200.0,0.0204,6e-05,0.020460000000000002
AMD A10-5757M,AMD,35.0,4.0,2.5,246.0,12.7,300.0,312.7,200.0,10000.0,10200.0,0.0204,6e-05,0.020460000000000002
AMD A10-5800B,AMD,100.0,4.0,3.8,246.0,12.7,1000.0,1012.7,200.0,30000.0,30200.0,0.0204,0.00017,0.02057
AMD A10-5800K,AMD,100.0,4.0,3.8,246.0,12.7,1000.0,1012.7,200.0,30000.0,30200.0,0.0204,0.00017,0.02057
AMD A10-6700,AMD,65.0,4.0,3.7,246.0,12.7,600.0,612.7,200.0,20000.0,20200.0,0.0204,0.00011,0.02051
AMD A10-6700T,AMD,45.0,4.0,2.5,246.0,12.7,400.0,412.7,200.0,20000.0,20200.0,0.0204,8e-05,0.02048
AMD A10-6790B,AMD,100.0,4.0,4.0,246.0,12.7,1000.0,1012.7,200.0,30000.0,30200.0,0.0204,0.00017,0.02057
AMD A10-6790K,AMD,100.0,4.0,4.0,246.0,12.7,1000.0,1012.7,200.0,30000.0,30200.0,0.0204,0.00017,0.02057
AMD A10-6800K,AMD,100.0,4.0,4.1,246.0,12.7,1000.0,1012.7,200.0,30000.0,30200.0,0.0204,0.00017,0.02057
AMD A10-7700K,AMD,95.0,4.0,3.4,245.0,12.7,900.0,912.7,200.0,30000.0,30200.0,0.0204,0.00016,0.020560000000000002
AMD A10-7800,AMD,65.0,4.0,3.5,245.0,12.7,600.0,612.7,200.0,20000.0,20200.0,0.0204,0.00011,0.02051
